Node	Occurrences	Present in network(s)
H6N5F2G1	1	[79;P13987]
H6N4F1S1G1	2	[686;Q96FE7, 1902;Q14508]
H6N5s1	1	[613;P07911]
H7N5F5	1	[105;Q91132]
H7N7S3	1	[718;P02763]
H7N7S4	2	[14;P19652, 96;P00740]
H3N6G1	1	[685;P41222]
H11N12F1	1	[140;P01588]
H6N4G3	1	[798;Q60590]
H4N4F4	2	[159;P02675, 797;Q9HDC9]
H11N9	1	[286;P32942]
H7N7S1	3	[1470;P51884, 744;P00738, 757;P02790]
H7N7S2	2	[2986;P08637, 2990;P08637]
H4N8F1	6	[356;P13473, 172;P06870, 759;P10909, 613;P07911, 1042;P21810, 230;P01876]
H8N6F1S4	6	[2989;P08637, 1470;P51884, 2988;P08637, 984;P08195, 137;P00533, 592;P40225]
H6N4G2	1	[675;Q61838]
H8N6F1S2	7	[356;P13473, 810;P01042, 1801;Q96J42, 1757;P05026, 613;P07911, 2933;Q13410, 679;O75882]
H7N5G2	1	[613;P07911]
H6N2S1	45	[2443;Q9R1V6-10, 1026;P50895, 2519;P20917, 2185;Q00493, 1027;P35613, 1861;Q15661, 1528;O60487, 2545;P55066, 711;Q14624, 2456;Q60675, 1221;O75477, 2557;P97300, 651;P0C0L4, 1222;O94905, 2231;Q9CPW0, 1193;Q9Y5L3, 1135;P08123, 2399;Q61739, 1146;P0C0L5, 2594;B2RXS4, 1598;O95302, 688;P01859, 2372;Q640R3, 1194;O75356, 2761;Q9QY33, 2611;Q91ZX7, 1630;Q9H3G5, 1477;P10619, 2497;O35114, 1897;Q7Z7D3, 1649;P35354, 1589;Q86WC4, 795;Q6YHK3, 1865;P09758, 2495;P17047, 1383;Q9Y4L1, 1444;P11047, 1307;Q68CP4, 1862;P20231, 1633;Q02809, 2332;Q99JP7, 1847;Q14956, 2196;Q61490, 1181;Q13443, 1136;P05997]
H6N6S4	3	[356;P13473, 677;P05090, 984;P08195]
H10N8F1S4	6	[140;P01588, 2989;P08637, 2986;P08637, 2988;P08637, 2990;P08637, 2987;P08637]
H4N4S1G1	5	[558;P02787, 518;P00734, 23;P02765, 20;P01009, 757;P02790]
H3N5F3	1	[550;P01833]
H7N5F2S1	1	[1940;Q07075]
H7N5F2S2	2	[805;P04196, 734;Q9Y5Y7]
H8N7G2	1	[810;P01042]
