Node	Occurrences	Present in network(s)
H3N4S1	2	[712;Q8TDQ0, 6;P14780]
H4N3F1	1	[6;P14780]
H1N1F1S2	1	[22;P12763]
H1N4F2	1	[79;P13987]
H1S2	1	[590;Q8BYI9]
H3N5F1S2	1	[1519;Q02817]
H2N3F1S2	1	[1519;Q02817]
H4N5S1	1	[712;Q8TDQ0]
H5N6F2	1	[20;P01009]
H2N1S2	8	[641;Q9GZM5, 186;P14220, 91;P0DN86, 339;P08575, 22;P12763, 809;Q99075, 2960;P01860, 2959;P01860]
H4N3S2	2	[641;Q9GZM5, 90;P08751]
H6N5S2	1	[90;P08751]
H4N5S2	2	[641;Q9GZM5, 90;P08751]
H3N4F3	1	[79;P13987]
H4N5	3	[230;P01876, 685;P41222, 339;P08575]
H5N4	2	[230;P01876, 339;P08575]
H5N6	1	[339;P08575]
H6N5	1	[339;P08575]
H5N6S2	1	[90;P08751]
H3N6F1S1	1	[1519;Q02817]
H5N4S1	1	[712;Q8TDQ0]
H3N6S2	1	[1519;Q02817]
H5N4S2	1	[90;P08751]
H3N5S1	2	[1519;Q02817, 685;P41222]

