Node	Occurrences	Present in network(s)
H6N4m4	1	[6536;Hemolymph]
H6N6F1s1	1	[10090;Brain]
H6N5s1	2	[9606;Urine, 10090;Brain]
H4N4F1S2	1	[9913;Kidney]
H7N5F5	1	[8649;Venom]
H2N2p1	1	[8400;Pituitary Gland]
H7N7S4	1	[9606;Blood Plasma]
H5N4F1S1a1	1	[9606;Ovary]
H6N6G3	1	[10090;Blood Serum]
H10N8F1	1	[9606;Kidney]
H6N6G2	1	[10090;Blood Serum]
H5N4F3G1	1	[9606;Urine]
H10N9F1S3	1	[9606;Ovary]
H7N8F1S4	1	[9606;Urine]
H7N7S2	1	[9606;Blood Serum]
H8N6F1S4	1	[9606;Mammalian Vulva]
H5N2S1	2	[9606;Mammary Gland, 9913;Retina]
H6N4G2	1	[10090;Blood Serum]
H8N6F1S2	2	[9606;Kidney, 9606;Urine]
H10N8F1S1	1	[9606;Ovary]
H7N5G2	1	[10090;Blood Serum]
H7N7G1	1	[9606;Urine]
H6N2S1	1	[10090;Submandibular Gland]
H7N5G3	1	[10090;Blood Serum]
H9N6P1m7	1	[6536;Hemolymph]
H10N8F1S4	3	[9606;Blood Serum, 9606;Kidney, 9606;Ovary]
H7N5F1s1	1	[10090;Brain]
H6N10	1	[9606;Urine]
H3N5F3	1	[9606;Milk]
H8N7G2	1	[9606;Urine]
H5N6F3S2	1	[9031;Colon]
H7N7S2G1	1	[9606;Urine]
H8N4	1	[10090;Brain]
H6N4F4	1	[8649;Venom]
H5N6F1G2	1	[10090;Blood Serum]
H7N6s1	1	[10090;Brain]
H8N7F1G1	1	[9606;Urine]
H9N7S2	1	[9606;Blood Serum]
H6N7F1S2G1	1	[9606;Urine]
H3N5s2	2	[9606;Pituitary Gland, 9940;Pituitary Gland]
H5N7F1S1	1	[9606;Kidney]
H9N7S4	1	[9606;Blood Serum]
H5N2s1	1	[9606;Seminal Fluid]
H11N11F1S4	1	[9606;Blood Serum]
H6N4F1S3	1	[9823;Kidney]
H8N8F1S3	3	[9606;Blood Serum, 9606;Kidney, 9606;Ovary]
H8N8F1S4	1	[9031;Colon]
H8N8S4	1	[9606;Blood Serum]
H8N8S2	1	[9606;Blood Serum]
H8N6S4	1	[9606;Blood Plasma]
H8N6F1S1G1	1	[9606;Urine]
H10N10F1S4	1	[9606;Blood Serum]
H12N10F1S4	1	[9606;Blood Serum]
H8N4F1	1	[9823;Seminal Fluid]
H6N6F1S4	1	[8717;Venom]
H4N4S1s1	1	[9606;Kidney]
H9N7F1S3	2	[9606;Blood Serum, 9606;Kidney]
H10N8	1	[9606;Milk]
H7N6F1S2G1	1	[9606;Urine]
H9N7F1S4	1	[9031;Colon]
H6N4F1s1	1	[10090;Brain]
H5N5F4S1	1	[9606;Colon]
H7N7S2s2	1	[9606;Urine]
H10N6P1m6	1	[6536;Hemolymph]
H6N3S1p1	1	[9606;Urine]
H3N5F2S1	1	[9606;Blood Serum]
H5N5F2G2	1	[10090;Blood Serum]
H7N6S2s1	1	[9606;Urine]
H9N9F1S1	1	[9606;Ovary]
H7N5F1S3	2	[10090;Kidney, 9606;Placenta]
H7N4m3	1	[6536;Hemolymph]
H8N6G1	1	[9606;Urine]
H6N4F2G2	1	[10090;Blood Serum]
H5N5S3	1	[10116;Blood Plasma]
H11N9F1S4	1	[9606;Blood Serum]
H5N5F1s1	1	[10090;Brain]
H5N9	1	[10090;Brain]
H7N9	1	[9606;Urine]
H9N9F1S4	3	[9606;Blood Serum, 9606;Kidney, 9606;Ovary]
H9N9	1	[9606;Milk]
H6N7F3	1	[10036;Brain]
H9N8S3	1	[9606;Blood Serum]

