Node	Occurrences	Present in network(s)	Cited in paper(s)
H4N5F1S1	1	[9913;Kidney]	[10.1046/j.1432-1327.1999.00766.x, 10.1007/bf00318054, 10.1016/j.jaci.2014.02.025, 10.1038/s41598-018-20331-2, 10.1093/glycob/cwh031, 10.1074/mcp.RA120.002295, 10.1023/a:1006915200989, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1021/bi961075b, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.1c00893, 10.1021/acs.analchem.0c01794, 10.1074/mcp.M114.039537, 10.1002/pmic.201300270, 10.1021/pr500414q, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1371/journal.ppat.1009232, 10.1101/853036, 10.1074/mcp.O114.046748, 10.1021/pr500238v, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1002/prca.201800061, 10.1093/glycob/10.3.295, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1093/glycob/1.2.173, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1074/jbc.M504528200, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.4049/jimmunol.173.11.6831, 10.1038/s41598-021-84668-x, 10.1111/j.1432-1033.1992.tb16863.x, 10.1021/pr500394z, 10.1046/j.1432-1327.1999.00105.x]
H7N7F1S4	1	[9606;Mammalian Vulva]	[10.18632/oncotarget.26005]
H7N5F1	6	[9823;Seminal Fluid, 9913;Kidney, 9606;Spleen, 9823;Zona Pellucida, 9606;Placenta, 9430;Ovary]	[10.1074/jbc.M004298200, 10.1006/abbi.1993.1595, 10.1074/mcp.RA120.002295, 10.1016/0008-6215(90)84171-p, 10.18632/oncotarget.26005, 10.1016/0003-9861(82)90550-1, 10.1093/glycob/10.3.295, 10.1002/prca.201800061, 10.1016/0161-5890(91)90027-h]
H1N2F1	3	[9606;Spleen, 9606;Kidney, 9606;Colon]	[10.1016/s0008-6215(99)00254-2, 10.1038/s41467-019-09222-w, 10.1007/bf00731872, 10.1016/s0014-5793(98)01710-4, 10.1021/bi00464a020, 10.18632/oncotarget.26005]
H7N7F1S1	1	[10090;Brain]	[10.1084/jem.20142182, 10.1016/j.jaci.2014.02.025, 10.1038/s41598-021-84668-x]
H7N7F1S2	2	[9606;Kidney, 9606;Urine]	[10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1074/mcp.RA120.002295, 10.1021/bi035278t, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794, 10.1021/acs.analchem.8b01137]
H7N5F1S1	1	[9606;Seminal Fluid]	[10.1021/acs.jproteome.9b00753, 10.1074/mcp.RA119.001607, 10.1074/mcp.RA120.002295, 10.1016/0008-6215(90)84171-p, 10.18632/oncotarget.26005, 10.1111/j.1432-1033.1990.tb15281.x, 10.1074/jbc.M307132200, 10.1111/j.1432-1033.1989.tb15206.x]
H8N7F1	1	[10090;Brain]	[10.1021/acs.jproteome.9b00753, 10.1016/s0021-9258(19)50338-6, 10.1093/glycob/9.5.443, 10.1074/mcp.M112.024018, 10.1046/j.1432-1327.1999.00766.x, 10.1016/s0021-9258(18)90588-0, 10.1016/0003-9861(82)90550-1, 10.1021/bi00210a019, 10.1021/acs.analchem.8b01137, 10.1016/s0021-9258(18)68975-6, 10.1093/glycob/7.1.67, 10.1021/bi00222a012, 10.1007/bf01053197, 10.1042/ba19990105, 10.1074/mcp.RA120.002295, 10.1046/j.1432-1327.2001.01960.x, 10.1021/bi9524880, 10.1002/elps.1150191113, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/bi00415a038, 10.1016/0003-9861(90)90511-v]
H4N2S1	1	[9606;Bone Marrow]	[10.1620/tjem.166.407, 10.1007/bf01799942]
H5N5F1	5	[10116;Ovary, 9606;Seminal Fluid, 9606;Mammalian Vulva, 9913;Kidney, 9430;Ovary]	[10.1016/j.jchromb.2008.05.006, 10.1016/0009-8981(94)90115-5, 10.1016/s0021-9258(19)50338-6, 10.1111/j.1432-1033.1992.tb16776.x, 10.1016/0003-2697(87)90253-3, 10.1021/bi00464a020, 10.1046/j.1432-1327.1999.00766.x, 10.1023/B:GLYC.0000038293.37376.9f, 10.1016/0305-0491(93)90056-b, 10.1016/s0021-9258(19)38919-7, 10.1007/bf00731292, 10.1074/jbc.M002693200, 10.1021/bi00222a012, 10.1074/mcp.RA120.002295, 10.1111/j.1432-1033.1996.0448h.x, 10.1021/acs.analchem.8b01051, 10.1074/jbc.M009361200, 10.1021/pr500414q, 10.1074/jbc.275.11.7731, 10.1016/0003-9861(90)90511-v, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1021/pr500238v, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1023/a:1006989910120, 10.1046/j.1432-1327.2001.01985.x, 10.1093/glycob/10.3.295, 10.1021/bi00210a019, 10.1073/pnas.1320544111, 10.1046/j.1432-1033.2002.03111.x, 10.1074/jbc.M504528200, 10.1016/j.euprot.2014.11.002, 10.1021/pr400714w, 10.1074/mcp.RA119.001607, 10.1021/bi00447a017, 10.1093/glycob/2.4.299, 10.1038/nmeth.1392, 10.1038/s41592-021-01309-x, 10.1038/bjc.1993.91, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1023/a:1022528829799, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1021/bi00378a023, 10.1006/abbi.2000.1806, 10.1016/j.carres.2014.01.018, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1995.1200, 10.1023/a:1018506208616, 10.1021/ac4009995, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1016/s0008-6215(96)91015-0, 10.1021/bi00341a040, 10.1111/j.1432-1033.1996.0076n.x, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1093/glycob/cwh031, 10.1016/s0021-9258(18)52290-0, 10.1042/bj2680529, 10.1007/bf00702201, 10.1042/bj2780505, 10.1111/j.1432-1033.1997.00334.x, 10.1006/abbi.1993.1332, 10.1021/acs.jproteome.0c00702, 10.1371/journal.pgen.1003225, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.1c00893, 10.1074/mcp.M114.039537, 10.1093/glycob/9.8.823, 10.1021/pr200397h, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1006/abbi.1993.1595, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1093/glycob/10.5.511, 10.1002/j.1460-2075.1985.tb03991.x, 10.1016/s0021-9258(19)39283-x, 10.4049/jimmunol.173.11.6831]
