Node	Occurrences	Present in network(s)	Cited in paper(s)
H3N4S1	8	[1383;Q9Y4L1, 2769;P01831, 658;P50454, 280;P01871, 1486;Q13296, 1262;P13284, 1669;Q9UBV2, 1075;O75339]	[10.1038/s41467-019-09222-w, 10.1016/j.talanta.2020.121495, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/acs.jproteome.9b00753, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/mcp.M112.024018, 10.1074/jbc.270.41.24116, 10.1016/j.jprot.2021.104148, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137]
H11N2	9	[558;P02787, 685;P41222, 607;P02786, 1146;P0C0L5, 79;P13987, 1175;P53634, 230;P01876, 651;P0C0L4, 320;P02788]	[10.1038/s41467-019-09222-w, 10.1021/bi00405a022, 10.1021/acs.jproteome.9b00753, 10.1093/protein/14.3.201, 10.1074/mcp.M112.024018, 10.1042/bj2270795, 10.1093/glycob/9.5.497, 10.1016/S0021-9258(19)50313-1, 10.1007/s10719-006-6693-4, 10.1093/glycob/cwaa052, 10.1042/BJ20030485, 10.1016/s0021-9258(18)54427-6, 10.1007/bf00702201, 10.1021/bi00462a006, 10.1111/j.1432-1033.1987.tb13469.x, 10.18632/oncotarget.26005, 10.1093/glycob/2.1.57, 10.1016/s0021-9258(18)54426-4, 10.1006/prep.2001.1501]
H4N5F1S1	6	[1245;Q9UBX5, 1315;P30447, 8;P23795, 1316;P05534, 1636;P12273, 23;P02765]	[10.1046/j.1432-1327.1999.00766.x, 10.1007/bf00318054, 10.1016/j.jaci.2014.02.025, 10.1038/s41598-018-20331-2, 10.1093/glycob/cwh031, 10.1074/mcp.RA120.002295, 10.1023/a:1006915200989, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1021/bi961075b, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.1c00893, 10.1021/acs.analchem.0c01794, 10.1074/mcp.M114.039537, 10.1002/pmic.201300270, 10.1021/pr500414q, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.3390/pharmaceutics13111747, 10.1371/journal.ppat.1009232, 10.1101/853036, 10.1074/mcp.O114.046748, 10.1021/pr500238v, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1002/prca.201800061, 10.1093/glycob/10.3.295, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1093/glycob/1.2.173, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1074/jbc.M504528200, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.4049/jimmunol.173.11.6831, 10.1038/s41598-021-84668-x, 10.1111/j.1432-1033.1992.tb16863.x, 10.1021/pr500394z, 10.1046/j.1432-1327.1999.00105.x]
H4N5F1S2	1	[2520;Q61885]	[10.1111/j.1432-1033.1991.tb15702.x, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/3.6.597, 10.1046/j.1432-1327.1999.00766.x, 10.1371/journal.ppat.1009232, 10.1007/bf00318054, 10.1021/bi035278t, 10.1002/prca.201800061, 10.1021/acs.analchem.8b01137, 10.1074/jbc.M004298200, 10.1093/glycob/1.2.173, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1074/mcp.RA120.002295, 10.1074/jbc.270.41.24116, 10.18632/oncotarget.26005, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.1c00893, 10.1111/j.1432-1033.1992.tb16863.x]
H7N7F1S4	6	[2989;P08637, 1470;P51884, 2988;P08637, 984;P08195, 137;P00533, 592;P40225]	[10.18632/oncotarget.26005]
H7N5F1	28	[586;P06729, 2999;P31994-3, 1442;P07942, 711;Q14624, 569;Q9Y286, 2998;P12318-1, 1256;Q08380, 602;P10646, 544;P98119, 495;P04180, 1169;P07585, 346;P14151, 361;P35496, 1012;Q9BYF1, 1019;Q9BXN1, 360;P35495, 3000;P08637, 636;Q07287, 568;O15389, 2991;P12314-2, 570;Q9NYZ4, 589;P06127, 283;P05556, 632;P42098, 354;P01374, 3001;O75015, 45;P17050, 283;P08648]	[10.1074/jbc.M004298200, 10.1006/abbi.1993.1595, 10.1074/mcp.RA120.002295, 10.1016/0008-6215(90)84171-p, 10.18632/oncotarget.26005, 10.1016/0003-9861(82)90550-1, 10.1093/glycob/10.3.295, 10.1002/prca.201800061, 10.1016/0161-5890(91)90027-h]
H7N5F2	3	[984;P08195, 998;O00468, 1042;P21810]	[10.1093/glycob/cwaa052]
H1N2F1	2	[436;P10153, 2839;P0DTC2]	[10.1016/s0008-6215(99)00254-2, 10.1038/s41467-019-09222-w, 10.1007/bf00731872, 10.1016/s0014-5793(98)01710-4, 10.1021/bi00464a020, 10.18632/oncotarget.26005]
H7N5F4	9	[356;P13473, 355;P11279, 1792;P24821, 1085;Q13740, 984;P08195, 692;P25311, 1637;P51888, 655;Q13308, 1414;P05556]	[10.1093/glycob/11.3.195]
H6N5S1G1	4	[21;P02760, 668;Q13201, 79;P13987, 718;P02763]	[10.18632/oncotarget.26005, 10.1002/elps.1150191113]
H7N7F1S1	2	[550;P01833, 2932;P47710]	[10.1084/jem.20142182, 10.1016/j.jaci.2014.02.025, 10.1038/s41598-021-84668-x]
